Points:
7.62,20.05
0.00,28.54
0.00,26.68
0.00,33.80
0.00,59.54
14.08,10.64
6.67,24.76
14.89,43.15
1.95,0.96
5.24,38.94
2.64,35.20
0.00,10.86
25.43,17.58
1.83,34.92
4.74,24.86
10.92,31.62
0.00,35.27
22.70,37.27
0.00,7.72
7.81,36.72
0.00,42.69
0.00,5.83
16.48,22.58
26.90,10.15
1.61,11.95
60.64,3.64
43.56,16.95
60.08,9.85
69.77,26.16
64.81,37.79
59.99,44.10
40.03,21.40
67.12,36.10
53.79,51.75
62.84,2.70
53.05,42.19
25.78,26.29
60.63,12.04
51.11,29.76
48.40,42.37
66.61,20.49
64.56,48.26
42.67,31.35
46.98,37.14
47.38,46.43
29.77,47.07
48.39,40.96
35.30,23.80
30.97,51.31
37.69,18.48
34.04,69.46
30.94,71.40
52.02,78.25
47.28,56.61
68.59,67.77
36.03,73.98
58.49,22.68
22.14,42.25
61.58,38.22
40.01,57.23
44.41,80.41
40.51,32.17
33.30,62.38
39.97,97.26
56.26,65.62
37.37,60.69
35.81,72.57
75.01,46.16
23.61,63.67
40.17,48.53
65.95,73.20
85.36,37.99
70.43,45.22
48.54,58.85
41.90,66.19
3.20,77.19
28.91,78.51
41.55,42.61
20.42,64.79
53.88,72.51
24.39,60.12
25.66,47.97
41.45,42.74
23.03,42.49
12.68,55.99
3.66,59.10
26.93,68.87
16.66,97.68
49.30,73.56
17.51,87.88
23.36,57.15
32.09,55.18
12.95,39.47
20.38,50.07
11.85,65.34
0.00,38.55
7.81,62.55
10.51,35.68
21.69,48.44
5.90,93.52
Centroids:
40.15,89.20
67.29,65.70
57.64,5.89
28.36,6.08
93.42,28.96
75.22,60.78
12.20,99.74
65.60,2.90
90.28,35.58
66.26,64.47
