Points:
52.51,55.38
67.02,55.41
54.40,60.55
67.72,78.16
80.92,63.38
34.65,45.73
90.02,68.75
3.94,49.34
28.13,53.31
74.74,51.33
34.04,51.52
39.55,66.80
72.51,46.55
59.01,73.17
41.94,53.26
60.39,51.35
48.89,43.10
42.89,38.60
43.70,49.76
55.74,56.63
39.48,76.81
40.93,67.00
58.96,58.40
86.56,85.06
55.74,37.95
20.92,34.81
2.88,30.32
16.57,2.56
26.29,15.07
0.00,26.40
10.02,22.31
0.00,14.01
0.00,27.76
0.00,16.79
0.00,6.73
29.26,0.00
0.01,25.02
0.00,22.97
23.52,11.24
0.00,6.50
38.95,9.97
24.45,5.29
12.59,0.00
7.02,0.00
30.62,22.95
7.74,4.03
0.00,42.70
16.63,5.63
11.47,10.02
0.00,10.73
53.94,4.57
40.53,27.31
68.78,27.90
62.42,17.49
71.24,34.73
35.23,44.18
53.96,31.45
47.03,51.93
23.58,23.39
80.72,11.45
53.63,23.75
43.57,14.97
26.57,7.43
45.11,17.61
52.26,31.19
60.43,41.49
56.38,23.38
71.79,6.86
69.22,27.53
70.53,0.00
66.50,43.19
53.99,12.66
92.42,56.71
49.39,7.80
59.30,19.96
93.91,32.36
65.45,34.30
76.18,28.44
74.88,19.68
100.00,35.19
100.00,26.56
100.00,19.94
63.14,58.46
78.22,43.25
62.59,30.68
84.02,37.14
69.52,36.73
90.32,56.30
83.07,30.18
89.64,30.74
100.00,42.11
82.96,36.14
83.52,57.87
91.28,25.15
100.00,0.00
100.00,51.93
59.10,19.71
93.37,44.51
100.00,24.15
100.00,24.14
Centroids:
34.13,5.35
41.58,20.35
99.81,99.64
0.97,11.86
89.12,47.24
36.69,8.18
54.87,3.29
82.11,72.48
17.44,70.23
28.08,57.35
